${0},,
"${0} ${1} already exists.","${0} ${1} zaten var.",
"${0} ${1} does not exist",,
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} varolan kayıtlarla bağlantılıdır.",
"${0} account not set in Inventory Settings.",,
"${0} already applied.",,
"${0} already saved",,
"${0} already submitted",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected",,
"${0} filters applied","${0} uygulanan filtreler",
"${0} has linked child accounts.",,
"${0} of type ${1} does not exist",,
"${0} only has ${1} points",,
"${0} out of ${1}",,
"${0} party ${1} is different from ${2}",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} rows","${0} satırları",
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} value ${1} does not exist.",,
0%,0%,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","1 filtre uygulandı",
2022-03-23,2022-03-23,
"23 Mar, 2022",23.03.2022,
23-03-2022,23-03-2022,
23.03.2022,,
23/03/2022,23/03/2022,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.",,
"API Base URL",,
Account,Hesap,
"Account ${0} does not exist.",,
"Account Entries","Hesap Girişleri",
"Account Name","Hesap Adı",
"Account Type","Hesap Türü",
Accounting,,
"Accounting Entries",,
"Accounting Ledger Entry","Muhasebe Defteri Girdisi",
"Accounting Settings","Muhasebe Ayarları",
Accounts,Hesaplar,
"Accounts Payable","Ödenecek Hesaplar",
"Accounts Receivable","Alacak Hesapları",
"Accumulated Depreciation","Birikmiş Amortisman",
Action,,
Active,,
"Add Account","Hesap Ekle",
"Add Customers","Müşteri Ekle",
"Add Group","Grup Ekle",
"Add Items","Öğe Ekle",
"Add Row","Satır Ekle",
"Add Suppliers","Tedarikçi Ekle",
"Add Taxes","Vergi Ekle",
"Add a few customers to create your first sales invoice",,
"Add a few suppliers to create your first purchase invoice",,
"Add a filter","Filtre ekleme",
"Add a remark","Bir açıklama ekle",
"Add attachment",,
"Add invoice terms","Fatura koşulları ekleme",
"Add products or services that you buy from your suppliers","Tedarikçilerinizden satın aldığınız ürün veya hizmetleri ekleyin",
"Add products or services that you sell to your customers","Müşterilerinize sattığınız ürün veya hizmetleri ekleyin",
"Add quote terms",,
"Add transfer terms",,
"Add'l Discounts",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,Adres,
"Address Display","Adres Ekranı",
"Address Line 1","Adres Satırı 1",
"Address Line 2","Adres Satırı 2",
"Address Name",,
"Administrative Expenses","İdari Giderler",
Alert,,
All,Tüm,
"Allow to bypass filters",,
Amount,Miktar,
"Amount Paid",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Amount: ${0} ve writeoff: ${1}, başvurulara ayrılan toplam tutardan daha azdır: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Tutar: ${0}, başvurulara ayrılan toplam tutardan daha azdır: ${1}.",
Amounts,,
"An entry is cancelled only if it is in the submitted state.",,
"An entry is submitted only if it is submittable and is in the saved state.",,
"An error occurred.","Bir hata oluştu.",
And,,
"Applicable anywhere in Green Bar By SFGCO",,
"Applicable when POS is open",,
"Applicable when Quick Search is open",,
"Applicable when Template Builder is open",,
"Applicable when a entry is open in the Form view or Quick Edit view",,
"Applicable when the List View of an entry type is open",,
"Application of Funds (Assets)","Fonların (Varlıkların) Uygulanması",
"Applied Coupon Codes",,
"Applied Items",,
"Apply Discount After Tax",,
"Apply Price List",,
"Apply and view changes made to the print template",,
April,,
Arial,Arial,
"Ascending Order","Artan Düzen",
Asset,Varlık,
"Attach Image",,
Attachment,,
August,,
"Auth Token",,
"Auto Payments",,
"Auto Stock Transfer",,
Autocomplete,,
Back,,
"Back Reference",,
"Bad import data, could not read file.",,
Balance,Denge,
"Balance Amount",,
"Balance Sheet",bilanço,
Bank,Banka,
"Bank Accounts","banka hesabı",
"Bank Entry","Banka Girişi",
"Bank Name","Banka Adı",
"Bank Overdraft Account","Banka Kredili Mevduat Hesabı",
Barcode,,
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total",,
"Based On",dayalı,
Batch,,
"Batch ${0} does not belong to Item ${1}",,
"Batch not set for row ${0}.",,
"Batch set for row ${0}.",,
"Bill Created","Fatura Oluşturuldu",
Billing,,
Billion,,
Black,Siyah,
Blue,Mavi,
Both,"Her ikisi de",
"Both From and To Location cannot be undefined",,
Buildings,Site,
Buy,,
"Buy Button Colour",,
"Can Change Discount",,
"Can Change Rate",,
Cancel,"İptal etmek",
"Cancel ${0}?",,
"Cancel Button Colour",,
"Cancel or Delete an entry.",,
Cancelled,"İptal edildi",
"Cannot Commit Error",,
"Cannot Delete",,
"Cannot Delete Account",,
"Cannot Export",,
"Cannot Import",,
"Cannot Open File",,
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}",,
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot open file",,
"Cannot perform operation.",,
"Cannot read file",,
"Capital Equipments","Sermaye Ekipmanları",
"Capital Stock","Sermaye Stoğu",
Cash,Nakit,
"Cash Denominations",,
"Cash Entry","Nakit Girişi",
"Cash In Hand","Elinde Nakit",
Cashflow,"Nakit Akışı",
Ceil,,
"Central Tax","Merkezi Vergi",
"Change DB",,
"Change File","Dosyayı Değiştir",
"Change Ref Type","Ref Türünü Değiştir",
"Changes made to settings will be visible on reload.",,
Chargeable,Ödetilebilir,
"Chart Of Accounts Reviewed","İncelenen Hesap Planı",
"Chart of Accounts","Hesap Planı",
Check,,
"Check Digits",,
"City / Town",Şehir,
Classic,,
Clear,Açık,
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date","İzin Tarihi",
"Clearance Date not set.",,
"Clicking continue will remove all the selected items.",,
Close,Kapatma,
"Close Green Bar By SFGCO and try manually.",,
"Close POS Shift",,
"Close Quick Search",,
Closing,Kapanma,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","Kapanış (Cr)",
"Closing (Dr)","Kapanış (Dr)",
"Closing Amount",,
"Closing Amounts",,
"Closing Cash",,
"Closing Cash In Denominations",,
"Closing Date",,
Collapse,,
"Collection Factor (=1 LP)",,
"Collection Rules",,
Color,Renk,
Colour,,
"Commission on Sales","Satış Komisyonu",
Common,Genel,
Company,,
"Company Logo","Şirket Logosu",
"Company Name","Şirket Adı",
"Company Setup","Şirket Kurulumu",
Completed,Tamamlandı,
Condition,Koşul,
"Consolidate Columns","Sütunları Birleştir",
Contacts,,
Contains,İçeriyor,
Continue,,
"Continue submitting Sales Invoice?",,
"Contra Entry","Kontra Giriş",
"Conversion Error",,
"Conversion Factor",,
Converted,,
"Cost Of Goods Sold Acc.",,
"Cost of Goods Sold","Satılan Malların Maliyeti",
"Could not connect to database file ${0}, please select the file manually",,
Count,,
"Counter Cash Account",,
Country,Ülke,
"Country Code","Ülke Kodu",
"Country code used to initialize regional settings.","Bölgesel ayarları başlatmak için kullanılan ülke kodu.",
"Coupon ${0} is not applicable for applied items.",,
"Coupon Code",,
"Coupon Name",,
Coupons,,
Courier,Kurye,
Cr.,Cr.,
"Cr. ${0}",,
Create,Uretmek,
"Create Demo","Demo Oluştur",
"Create Payment.",,
"Create Purchase","Satın Alma Oluştur",
"Create Purchase Invoice",,
"Create Sale","Satış Oluştur",
"Create Sales Invoice",,
"Create a demo company to try out Green Bar By SFGCO",,
"Create a new company and store it on your computer",,
"Create a new company or select an existing one from your computer",,
"Create a new entry of the same type as the List View",,
"Create new ${0} entry?",,
"Create your first purchase invoice from the created supplier",,
"Create your first sales invoice for the created customer",,
Created,Üretildi,
"Created By","Tarafından oluşturuldu",
"Creating Items and Parties","Öğeler ve Taraflar Oluşturma",
"Creating Journal Entries","Günlük Girişleri Oluşturma",
"Creating Purchase Invoices","Satınalma Faturaları Oluşturma",
Credit,Kredi,
"Credit Card Entry","Kredi Kartı Girişi",
"Credit Note","Kredi Notu",
Creditors,Alacaklı,
Currency,"Para birimi",
"Currency Name","Para Birimi Adı",
Current,Şimdiki,
"Current Assets","Dönen Varlıklar",
"Current Liabilities","Cari Borçlar",
"Custom Field",,
"Custom Fields",,
"Custom Form",,
"Custom Hex","Özel Altıgen",
Customer,Müşteri,
"Customer Created","Müşteri Oluşturuldu",
"Customer Currency","Müşteri Para Birimi",
Customers,Müşteriler,
Customizations,,
"Customize Form",,
"Customize your invoices by adding a logo and address details","Logo ve adres bilgilerini ekleyerek faturalarınızı özelleştirin",
"Dark mode",,
Dashboard,"Gösterge paneli",
Data,,
"Data Sync Interval (In Minutes)",,
"Database Error",,
"Database file: ${0}","Veritabanı dosyası: ${0}",
Date,Tarih,
"Date Format","Tarih Biçimi",
"Date Time",,
Day,Gün,
Debit,Banka,
"Debit Note","Borç Notu",
Debtors,Borçlu,
December,,
"Decrease print template display scale",,
Default,,
"Default Account","Varsayılan Hesap",
"Default Cash Denominations",,
"Default Location",,
Defaults,,
Delete,Silmek,
"Delete ${0}?","${0} silinsin mi?",
"Delete Account",,
"Delete Failed",,
"Delete Group",,
Delivered,,
Denomination,,
Depreciation,Yıpranma,
"Depreciation Entry","Amortisman Girişi",
Description,Tanım,
Details,Detaylar,
"Device ID",,
"Device is offline. Please connect to a network to continue.",,
"Difference Amount",,
"Direct Expenses","Doğrudan Giderler",
"Direct Income","Doğrudan Gelir",
"Directory for database file ${0} does not exist, please select the file manually",,
Disabled,,
"Discount Account",,
"Discount Account is not set.",,
"Discount Amount",,
"Discount Amount (${0}) cannot be greated than Amount (${1}).",,
"Discount Percent",,
"Discount Percent (${0}) cannot be greater than 100.",,
"Discount Percentage",,
"Discount Type",,
"Discounted Amount",,
Discounts,,
"Display Amount In Words",,
"Display Description In Invoice",,
"Display Doc",,
"Display Logo in Invoice","Logoyu Faturada Görüntüleme",
"Display Precision","Ekran Hassasiyeti",
"Display Precision should have a value between 0 and 9.","Ekran Hassasiyeti 0 ile 9 arasında bir değere sahip olmalıdır.",
"Display Scale",,
"Display Time In Invoice",,
"Dividends Paid","Ödenen Temettüler",
"Do not Contact",,
"Doc ${0} ${1} not set",,
Docs,Doküman,
"Document Name",,
Documentation,Belge,
"Does Not Contain",Içermez,
Done,,
Dr.,Dr.,
"Dr. ${0}",,
Draft,Taslak,
Duplicate,Çiftleme,
"Duplicate Entry",,
"Duplicate Template",,
"Duplicate columns found: ${0}",,
"Duties and Taxes","Görev ve Vergiler",
"Dynamic Link",,
"ERPNext Sync",,
"ERPNext Sync Queue",,
"ERPNext Sync Settings",,
"Earnest Money","pey akçesi",
Eight,,
Eighteen,,
Eighty,,
"Electronic Equipments","Elektronik Ekipmanlar",
Eleven,,
Email,E-posta,
"Email Address","E-Posta Adresi",
Empty,Boş,
"Empty file selected",,
"Enable Barcodes",,
"Enable Batches",,
"Enable Coupon Code",,
"Enable Discount Accounting",,
"Enable ERPNext Sync",,
"Enable Form Customization",,
"Enable Inventory",,
"Enable Invoice Returns",,
"Enable Item Group",,
"Enable Lead",,
"Enable Loyalty Program",,
"Enable POS Without Inventory",,
"Enable Partial Payment",,
"Enable Partial payment to pay partial amount",,
"Enable Point of Sale",,
"Enable Price List",,
"Enable Pricing Rule",,
"Enable Serial Number",,
"Enable UOM Conversion",,
Enabled,,
"Enabled For",,
Endpoints,,
"Enter Country to load States","Devletleri yüklemek için Ülkeyi girin",
"Enter State","Durumu Girin",
"Enter barcode",,
"Enter weight barcode",,
"Entertainment Expenses","Eğlence Giderleri",
Entry,,
"Entry Currency",,
"Entry Label",,
"Entry No","Giriş No",
"Entry No.",,
"Entry Type","Giriş Türü",
"Entry has Grand Total ${0}. Please verify amounts.",,
Equity,Özkaynak,
Error,Hata,
"Exchange Gain/Loss","Değişim Kazancı / Kaybı",
"Exchange Rate",döviz,
"Excise Entry","ÖTV Girişi",
"Existing Company",,
Expand,,
"Expected Amount",,
Expense,Gider,
"Expense Account","Gider Hesabı",
Expenses,Masraflar,
"Expenses Included In Valuation","Değerlemeye Dahil Edilen Giderler",
"Expiry Date",,
"Expiry Duration",,
Export,İhracat,
"Export Failed","Dışa Aktarma Başarısız Oldu",
"Export Format",,
"Export Successful","İhracat Başarılı",
"Export Wizard",,
"FBooks Integration Version",,
Failed,,
Fax,Faks,
Features,,
February,,
"Fetch Data From ERPNext",,
"Fetch From ERPNext Queue",,
Field,Alan,
Fieldname,Alanadı,
"Fieldname ${0} already exists for ${1}",,
"Fieldname ${0} already used for Custom Field ${1}",,
Fieldtype,,
Fifteen,,
Fifty,,
"File ${0} does not exist.",,
"File selection failed",,
Fill,,
Filter,Filtre,
"Filter by Group",,
"Fiscal Year","Mali Yıl",
"Fiscal Year End Date","Mali Yıl Bitiş Tarihi",
"Fiscal Year Start Date","Mali Yıl Başlangıç Tarihi",
Five,,
"Fix Failed",,
"Fixed Asset",Demirbaş,
"Fixed Assets",Demirbaş,
Float,,
Floor,,
"Following cells have errors: ${0}.",,
"Following links do not exist: ${absentLinks .map((l) =>",,
Font,Yazı,
"For Purchase",,
